Language,Greater London,Inner London,Outer London,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster
Akan,7.290,4.410,2.890,0,180,80,50,210,10,120,570,90,660,240,660,70,740,30,30,30,50,130,20,10,760,260,370,730,90,0,540,40,80,150,300,20
Igbo,2.580,1.410,1.160,0,110,60,50,90,10,30,70,20,240,250,280,30,180,20,40,20,20,70,10,10,190,200,60,110,60,0,220,10,30,30,60,10
Ga,670,380,290,0,10,10,0,20,0,20,60,20,50,20,20,30,20,10,0,0,30,20,10,0,100,30,30,50,10,0,40,0,10,0,40,0
Krio,670,560,100,0,10,10,10,10,0,30,30,10,0,10,40,10,20,0,0,0,0,10,0,0,90,90,10,30,0,0,230,10,10,0,10,10
Edo/Bini,350,210,140,0,20,0,10,10,0,10,10,0,20,30,30,0,10,10,0,0,0,10,0,0,30,30,10,40,10,0,50,0,0,10,10,0
Wolof,270,190,80,0,10,10,0,10,0,20,0,0,0,20,80,0,0,0,0,0,0,0,10,0,0,10,0,50,10,0,10,0,0,0,10,0
Ebira,220,50,180,0,0,0,30,10,10,0,20,10,10,20,10,0,0,10,10,10,10,0,0,10,0,10,10,10,0,0,10,10,0,10,0,0
Hausa,190,110,80,0,10,10,0,10,0,0,10,10,0,20,10,10,0,0,0,10,0,0,10,0,10,10,0,20,0,0,10,0,0,10,0,10
Ewe,170,110,60,0,0,0,0,10,0,10,10,0,10,0,10,0,10,0,0,0,10,10,0,0,20,20,10,10,0,0,20,0,0,0,0,0
Urhobo-Isoko,160,130,30,0,0,0,0,0,0,0,0,0,0,10,10,10,0,0,0,0,0,0,0,0,20,60,0,0,0,0,40,0,0,0,0,0
Efik-Ibibio,100,60,40,0,10,0,10,0,0,0,0,0,0,10,10,0,10,0,0,0,0,0,0,0,10,20,0,0,0,0,10,0,0,0,0,0
Manding variants,80,60,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,10,0,0,30,0,0,0,0,0,0,0,0
Fula/Fulfulde-Pulaar,60,30,30,0,0,0,0,0,0,0,20,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0
Mende,60,50,10,0,0,0,0,0,0,10,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0
Esan/Ishan,60,40,20,0,0,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,20,0,0,0,0,0
Temne,50,50,10,0,0,0,0,0,0,0,0,0,0,0,10,0,10,0,0,0,0,0,0,0,10,10,0,0,0,0,10,0,0,0,0,0
Lingala,2.820,1.710,1.110,0,130,70,0,60,0,220,120,40,310,30,220,30,350,20,10,20,40,160,20,20,180,110,30,290,100,10,50,30,20,90,40,40
Swahili variants,2.630,1.030,1.610,0,420,80,20,60,10,30,70,120,120,90,80,20,70,50,10,60,120,50,10,10,60,80,20,440,230,10,100,20,30,110,50,20
Luganda,1.500,750,750,0,70,20,10,30,0,20,140,10,120,110,50,10,150,10,10,20,40,20,10,10,90,80,60,150,50,0,70,10,10,30,100,10
Shona,1.040,280,760,0,70,30,70,10,10,10,70,40,60,120,30,10,30,10,40,70,40,10,0,10,30,100,40,40,30,0,30,30,10,20,10,0
Acholi,330,290,40,0,0,0,0,0,10,10,10,0,0,10,0,10,10,0,0,0,0,10,0,0,10,20,10,0,10,0,220,0,0,0,10,0
Katchi,290,60,220,0,0,10,0,10,0,0,30,30,0,0,0,0,0,70,0,40,20,0,0,0,30,0,10,0,0,0,0,0,0,0,30,0
Afrikaans,280,80,200,0,10,10,0,10,0,0,20,10,70,10,10,0,10,0,0,10,10,0,0,0,10,10,10,10,0,10,0,10,10,10,10,0
Ambo,150,140,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,120,0,0,0,0,0
Ndebele,120,40,80,0,10,0,10,0,0,0,10,0,10,10,0,0,20,10,0,10,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0
Bemba,120,60,60,0,10,10,10,0,0,0,10,0,0,10,0,0,10,0,0,0,0,0,0,0,10,10,10,20,10,0,10,0,0,0,0,0
Tigre,120,80,40,0,0,0,0,10,0,10,10,0,10,0,0,10,0,0,0,0,0,30,0,0,0,0,0,10,0,0,0,0,0,0,0,10
